Date : 2025-12-04 14:39:53
Directory : /Applications/XAMPP/xamppfiles/htdocs/student023/shop
Total : 119 files,  28610 codes, 268 comments, 6756 blanks, all 35634 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/fontawesome.css                              | PostCSS    |      6,314 |         17 |      2,031 |      8,362 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/fontawesome.min.css                          | PostCSS    |          2 |          5 |          2 |          9 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/regular.css                                  | PostCSS    |         22 |          6 |          3 |         31 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/regular.min.css                              | PostCSS    |          1 |          5 |          0 |          6 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/solid.css                                    | PostCSS    |         22 |          6 |          3 |         31 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/solid.min.css                                | PostCSS    |          1 |          5 |          0 |          6 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/svg-with-js.css                              | PostCSS    |        483 |         15 |         58 |        556 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/svg-with-js.min.css                          | PostCSS    |          1 |          5 |          0 |          6 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/svg.css                                      | PostCSS    |        161 |          5 |         16 |        182 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/svg.min.css                                  | PostCSS    |          1 |          5 |          0 |          6 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/v4-font-face.css                             | PostCSS    |         22 |          5 |          0 |         27 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/v4-font-face.min.css                         | PostCSS    |          1 |          5 |          0 |          6 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/v4-shims.css                                 | PostCSS    |      2,190 |          5 |        623 |      2,818 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/v4-shims.min.css                             | PostCSS    |          1 |          5 |          0 |          6 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/v5-font-face.css                             | PostCSS    |         18 |          5 |          0 |         23 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/assets/fontawesome/css/v5-font-face.min.css                         | PostCSS    |          1 |          5 |          0 |          6 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/admin/customers.php                                         | PHP        |         26 |          0 |          3 |         29 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/admin/orders.php                                            | PHP        |         26 |          0 |          2 |         28 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/admin/products.php                                          | PHP        |         44 |          0 |          7 |         51 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/admin/reviews.php                                           | PHP        |        103 |          0 |          4 |        107 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/admin/shopping_cart.php                                     | PHP        |         47 |          0 |          3 |         50 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/checkout/address.php                                        | PHP        |         39 |          0 |          5 |         44 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/checkout/confirmation.php                                   | PHP        |         48 |          0 |          4 |         52 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/checkout/payment_method.php                                 | PHP        |          0 |          0 |          1 |          1 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/checkout/shipping_method.php                                | PHP        |          0 |          0 |          1 |          1 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/checkout/summary.php                                        | PHP        |          0 |          0 |          1 |          1 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/checkout/tpv.php                                            | PHP        |         82 |          0 |          0 |         82 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/config/db_connect.php                                       | PHP        |         11 |          0 |          4 |         15 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/customer/my_orders.php                                      | PHP        |         15 |          0 |          2 |         17 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/customer/my_profile.php                                     | PHP        |        173 |          0 |         12 |        185 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/customer/my_reviews.php                                     | PHP        |        102 |          0 |          4 |        106 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/customer/my_shopping_cart.php                               | PHP        |         56 |          0 |          4 |         60 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/customers/db_address_insert.php                          | PHP        |         22 |          0 |          3 |         25 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/customers/db_address_update.php                          | PHP        |         62 |          8 |         17 |         87 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/customers/db_customer_update.php                         | PHP        |         70 |         10 |         17 |         97 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/customers/db_select_customers.php                        | PHP        |         11 |          0 |          1 |         12 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/db_login.php                                             | PHP        |         41 |          8 |         12 |         61 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/db_register.php                                          | PHP        |         36 |          0 |         11 |         47 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/orders/db_order_insert.php                               | PHP        |         39 |          3 |          8 |         50 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/orders/db_select_orders.php                              | PHP        |         11 |          0 |          1 |         12 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/products/db_product_delete.php                           | PHP        |         12 |          4 |          5 |         21 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/products/db_product_insert.php                           | PHP        |         51 |         10 |         11 |         72 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/products/db_product_update.php                           | PHP        |         32 |          4 |          5 |         41 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/products/db_select_products.php                          | PHP        |          7 |          3 |          5 |         15 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/reviews/db_review_insert.php                             | PHP        |         14 |          0 |          5 |         19 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/reviews/db_select_reviews.php                            | PHP        |         12 |          0 |          0 |         12 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/reviews/db_select_reviews_not_check.php                  | PHP        |         12 |          0 |          0 |         12 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/reviews/db_update_checked.php                            | PHP        |         19 |          0 |          4 |         23 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/shopping_cart/db_shopping_cart_delete.php                | PHP        |         17 |          4 |          6 |         27 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/shopping_cart/db_shopping_cart_insert_update_content.php | PHP        |         18 |          9 |          5 |         32 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/db/shopping_cart/db_shopping_cart_select.php                | PHP        |         11 |          2 |          3 |         16 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/check_session.php                                 | PHP        |          6 |          0 |          1 |          7 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_address_insert.php                             | PHP        |         23 |          0 |          5 |         28 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_address_update.php                             | PHP        |         62 |          9 |         17 |         88 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_customer_search.php                            | PHP        |         15 |          0 |          1 |         16 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_customer_update.php                            | PHP        |         69 |         10 |         17 |         96 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_order_search.php                               | PHP        |         15 |          0 |          1 |         16 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_product_by_id.php                              | PHP        |         38 |          0 |          4 |         42 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_product_search.php                             | PHP        |         11 |          0 |          1 |         12 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_products_enabled.php                           | PHP        |         12 |          0 |          2 |         14 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_select_info_customer.php                       | PHP        |         23 |          0 |          7 |         30 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_shopping_cart_insert.php                       | PHP        |         29 |          9 |          5 |         43 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/db_shopping_cart_update.php                       | PHP        |         18 |          0 |          3 |         21 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/language_cookie.php                               | PHP        |          6 |          0 |          0 |          6 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/endpoints/logout.php                                        | PHP        |          8 |          0 |          0 |          8 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/products/form_product_delete.php                      | PHP        |         20 |          0 |          2 |         22 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/products/form_product_delete_call.php                 | PHP        |          4 |          0 |          3 |          7 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/products/form_product_insert.php                      | PHP        |         67 |          0 |          3 |         70 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/products/form_product_update.php                      | PHP        |         74 |          1 |          2 |         77 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/products/form_product_update_call.php                 | PHP        |          4 |          0 |          0 |          4 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/shopping_cart/form_shopping_cart_delete.php           | PHP        |         19 |          0 |          0 |         19 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/shopping_cart/form_shopping_cart_delete_call.php      | PHP        |          4 |          0 |          2 |          6 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/forms/shopping_cart/form_shopping_cart_insert.php           | PHP        |          4 |          0 |          0 |          4 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/admin_header.php                                   | PHP        |         50 |          0 |          4 |         54 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/admin_nav.php                                      | PHP        |         22 |          0 |          0 |         22 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/customer_nav.php                                   | PHP        |         27 |          0 |          0 |         27 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/customers_functions.php                            | PHP        |        114 |          0 |         21 |        135 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/footer.php                                         | PHP        |          3 |          0 |          1 |          4 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/guest_header.php                                   | PHP        |         17 |          0 |          1 |         18 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/orders_functions.php                               | PHP        |         25 |          0 |         10 |         35 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/includes/products_functions.php                             | PHP        |         47 |          4 |         12 |         63 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/index.php                                                   | PHP        |         16 |          0 |          0 |         16 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/login.php                                                   | PHP        |        102 |          0 |         21 |        123 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/register.php                                                | PHP        |        102 |          0 |         21 |        123 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/security/check_session.php                                  | PHP        |          6 |          0 |          0 |          6 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/backend/security/protect_admin_pages.php                            | PHP        |          5 |          0 |          0 |          5 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/composer.json                                                       | JSON       |          5 |          0 |          1 |          6 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/composer.lock                                                       | JSON       |        492 |          0 |          1 |        493 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/common.css                                                      | PostCSS    |        326 |          0 |         67 |        393 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/index.css                                                       | PostCSS    |        148 |          0 |         27 |        175 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/input.css                                                       | PostCSS    |         50 |          0 |         12 |         62 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/sass/_common.scss                                               | SCSS       |        359 |          0 |         78 |        437 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/sass/_mixin.scss                                                | SCSS       |         63 |          0 |         15 |         78 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/sass/_variables.scss                                            | SCSS       |         15 |          0 |          2 |         17 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/sass/cart.css                                                   | PostCSS    |        765 |          0 |          3 |        768 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/sass/cart.scss                                                  | SCSS       |        143 |          0 |         32 |        175 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/style.css                                                       | PostCSS    |      2,216 |          1 |          1 |      2,218 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/index.html                                                          | HTML       |         94 |          0 |          1 |         95 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/backend_common.js                                                | JavaScript |         31 |          0 |          8 |         39 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/backend_customers.js                                             | JavaScript |         53 |          0 |          8 |         61 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/backend_my_profile.js                                            | JavaScript |         33 |          0 |         12 |         45 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/backend_orders.js                                                | JavaScript |         52 |          0 |          8 |         60 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/backend_products.js                                              | JavaScript |         79 |          0 |          6 |         85 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/backend_shopping_cart.js                                         | JavaScript |         48 |         19 |         16 |         83 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/common.js                                                        | JavaScript |         36 |          0 |         12 |         48 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/index.js                                                         | JavaScript |        153 |          1 |         27 |        181 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/my_profile.js                                                    | JavaScript |        147 |          0 |         22 |        169 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/my_reviews.js                                                    | JavaScript |         33 |          0 |          8 |         41 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/product_detail.js                                                | JavaScript |         96 |          1 |         13 |        110 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/shopping_cart.js                                                 | JavaScript |        125 |          1 |         20 |        146 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/package-lock.json                                                   | JSON       |      1,122 |          0 |          1 |      1,123 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/package.json                                                        | JSON       |         25 |          0 |          2 |         27 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/views/product_detail.html                                           | HTML       |        252 |          7 |         46 |        305 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/views/profile.html                                                  | HTML       |        243 |          0 |         47 |        290 |
| /Applications/XAMPP/xamppfiles/htdocs/student023/shop/views/shopping_cart.html                                            | HTML       |        103 |          2 |         44 |        149 |
| Total                                                                                                                     |            |     28,610 |        268 |      6,756 |     35,634 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
